pitcher,Player,Team,Position,Signal,Luck Score,ERA,FIP,xERA,Ownership %,CBS Rank,CBS FPTS,Type
676477,Garrett Whitlock,BOS,,Neutral,0.0,4.4,3.7,4.654,12.9,,,Pitcher
685299,Tanner Gordon,COL,,Neutral,0.0,6.91,5.82,5.026,0.02,,,Pitcher
676775,Keaton Winn,SF,,Neutral,0.0,1.35,6.03,6.596,1.07,,,Pitcher
680767,Victor Vodnik,COL,,Neutral,0.0,6.75,6.03,6.004,1.54,,,Pitcher
688158,David Morgan,SD,,Neutral,0.0,8.77,3.78,2.052,0.09,,,Pitcher
682254,Mason Montgomery,PIT,,Neutral,0.0,2.7,2.25,3.18,0.83,,,Pitcher
518585,Fernando Cruz,NYY,,Neutral,0.0,4.72,4.65,4.495,2.62,153.0,,Pitcher
621383,Tanner Banks,PHI,,Neutral,0.0,6.75,3.15,4.166,0.16,,,Pitcher
657424,Matt Gage,SF,,Neutral,0.0,1.98,4.61,3.795,0.08,,,Pitcher
688883,Peyton Pallette,CLE,,Neutral,0.0,4.91,2.86,5.81,0.08,,,Pitcher
663738,Daniel Lynch,KC,,Neutral,0.0,3.07,0.03,-1.454,,125.0,,Pitcher
687330,Kevin Kelly,TB,,Neutral,0.0,3.68,5.53,5.483,0.99,115.0,,Pitcher
676263,Jack Dreyer,LAD,,Neutral,0.0,4.91,1.53,-2.546,1.47,,,Pitcher
607455,Anthony Banda,MIN,,Neutral,0.0,11.05,4.7,3.883,0.09,,,Pitcher
519141,Drew Pomeranz,LAA,,Neutral,0.0,10.54,6.07,5.615,0.18,,,Pitcher
573009,Joe Mantiply,TOR,,Neutral,0.0,4.61,2.49,4.088,0.05,,,Pitcher
641329,Bryan Baker,TB,,Neutral,0.0,2.63,2.41,0.408,36.03,35.0,,Pitcher
622554,Seranthony Domínguez,CWS,,Neutral,0.0,5.93,5.56,5.585,20.26,72.0,,Pitcher
669270,Joel Kuhnel,ATH,,Neutral,0.0,2.13,3.16,4.503,5.04,147.0,,Pitcher
681892,Kody Funderburk,MIN,,Neutral,0.0,2.13,5.6,5.745,0.3,,,Pitcher
657044,Ryan Thompson,AZ,,Neutral,0.0,4.15,5.31,3.881,0.28,,,Pitcher
573124,Taylor Rogers,MIN,,Neutral,0.0,5.54,1.74,3.073,0.56,,,Pitcher
572955,Pierce Johnson,CIN,,Neutral,0.0,4.15,3.92,7.176,0.09,,,Pitcher
663855,Jordan Hicks,CWS,,Neutral,0.0,4.85,4.07,3.366,0.17,,,Pitcher
657097,Jacob Webb,CHC,,Neutral,0.0,6.23,1.53,-2.108,0.07,,,Pitcher
694361,Will Klein,LAD,,Neutral,0.0,3.86,0.53,2.904,0.23,,,Pitcher
641401,Connor Brogdon,CLE,,Neutral,0.0,5.14,4.35,3.642,0.14,,,Pitcher
623474,Jimmy Herget,COL,,Neutral,0.0,5.14,2.78,4.162,0.21,,,Pitcher
687570,Connor Prielipp,MIN,,Neutral,0.0,3.86,4.03,3.039,3.49,,,Pitcher
641745,Brad Keller,PHI,,Neutral,0.0,5.02,3.77,2.441,5.01,142.0,,Pitcher
656848,Michael Petersen,MIA,,Neutral,0.0,3.37,2.03,0.417,0.04,,,Pitcher
677961,Cole Wilcox,SEA,,Neutral,0.0,6.07,0.78,5.458,0.02,,,Pitcher
680730,Mitchell Parker,WSH,,Neutral,0.0,3.0,3.11,3.668,0.1,,,Pitcher
681402,Gus Varland,WSH,,Neutral,0.0,6.75,2.55,4.369,2.04,152.0,,Pitcher
650556,Bryan Abreu,HOU,,Neutral,0.0,6.75,5.03,3.547,37.72,,,Pitcher
681895,Evan Sisk,PIT,,Neutral,0.0,3.75,3.03,2.795,0.03,,,Pitcher
665622,Luis Medina,ATH,,Neutral,0.0,1.42,5.56,6.904,0.06,,,Pitcher
656730,Trevor Megill,MIL,,Neutral,0.0,5.84,2.35,4.413,42.12,,,Pitcher
642100,Gabe Speier,SEA,,Neutral,0.0,3.65,3.32,4.533,1.14,,,Pitcher
664991,Grant Wolfram,BAL,,Neutral,0.0,4.38,0.48,2.23,0.13,,,Pitcher
689254,Mason Fluharty,TOR,,Neutral,0.0,5.11,2.75,1.325,0.18,,,Pitcher
668390,Cole Winn,TEX,,Neutral,0.0,4.61,4.83,3.606,0.45,,,Pitcher
669622,Anthony Bender,MIA,,Neutral,0.0,6.59,2.63,2.661,0.32,,,Pitcher
657514,Brennan Bernardino,COL,,Neutral,0.0,3.95,2.85,2.869,0.07,,,Pitcher
669711,Greg Weissert,BOS,,Neutral,0.0,9.22,4.83,4.307,0.2,,,Pitcher
621381,Matt Strahm,KC,,Neutral,0.0,3.29,4.39,1.452,4.82,,,Pitcher
689147,Orion Kerkering,PHI,,Neutral,0.0,2.84,4.26,0.916,0.62,,,Pitcher
681911,Alex Vesia,LAD,,Neutral,0.0,2.13,1.89,2.16,14.17,143.0,,Pitcher
683232,Nick Mears,KC,,Neutral,0.0,4.26,3.08,5.348,0.1,,,Pitcher
548384,Brooks Raley,NYM,,Neutral,0.0,3.55,2.21,3.054,0.78,,,Pitcher
605488,Jeffrey Springs,ATH,,Neutral,0.0,3.76,4.33,2.855,30.36,52.0,,Pitcher
681343,Shane Smith,CWS,,Neutral,0.0,11.37,6.03,4.507,2.47,,,Pitcher
676395,Robert Garcia,TEX,,Neutral,0.0,3.38,4.12,4.482,6.23,,,Pitcher
669020,Ryan Rolison,CHC,,Neutral,0.0,0.0,1.74,1.455,0.04,170.0,,Pitcher
543056,Danny Coulombe,BOS,,Neutral,0.0,4.5,4.87,4.644,0.05,,,Pitcher
671382,Cameron Foster,BAL,,Neutral,0.0,2.25,3.03,2.06,0.01,,,Pitcher
669302,Logan Gilbert,SEA,,Neutral,0.0,4.19,4.35,4.776,95.6,77.0,,Pitcher
808967,Yoshinobu Yamamoto,LAD,,Neutral,0.0,3.35,3.45,4.153,99.8,21.0,,Pitcher
608331,Max Fried,NYY,,Neutral,0.0,2.38,2.59,1.224,99.75,2.0,,Pitcher
681252,Jack Anderson,BOS,,Neutral,0.0,3.52,3.94,5.745,0.01,,,Pitcher
605447,Jordan Romano,LAA,,Neutral,0.0,4.5,4.25,4.266,5.7,,,Pitcher
687606,Paxton Schultz,WSH,,Neutral,0.0,2.35,5.25,5.074,0.04,,,Pitcher
675660,Shane Drohan,MIL,,Neutral,0.0,5.91,2.93,3.83,0.05,,,Pitcher
677053,Andrew Nardi,MIA,,Neutral,0.0,7.62,5.38,6.568,0.06,,,Pitcher
676534,Calvin Faucher,MIA,,Neutral,0.0,6.92,3.23,4.992,0.35,,,Pitcher
668909,Gavin Williams,CLE,,Neutral,0.0,3.54,4.06,4.222,93.06,7.0,,Pitcher
679883,Luinder Avila,KC,,Neutral,0.0,9.0,4.6,6.429,0.05,,,Pitcher
695684,Elmer Rodriguez,NYY,,Neutral,0.0,5.19,5.34,7.107,3.47,,,Pitcher
573204,Caleb Thielbar,CHC,,Neutral,0.0,4.15,4.5,1.816,0.95,,,Pitcher
676467,Colton Gordon,HOU,,Neutral,0.0,14.62,11.4,7.161,0.06,,,Pitcher
664126,Pete Fairbanks,MIA,,Neutral,0.0,8.0,2.89,3.09,44.29,,,Pitcher
701552,Andre Granillo,WSH,,Neutral,0.0,7.5,7.36,5.714,0.01,,,Pitcher
806960,Luis Morales,ATH,,Neutral,0.0,12.54,12.67,9.093,0.21,,,Pitcher
606303,Joel Payamps,ATL,,Neutral,0.0,5.87,5.61,5.92,0.05,,,Pitcher
661395,Jhoan Durán,PHI,,Neutral,0.0,4.7,1.56,2.786,91.72,122.0,,Pitcher
701656,Logan Henderson,MIL,,Neutral,0.0,3.0,0.36,-1.41,6.78,,,Pitcher
669165,Kyle Hurt,LAD,,Neutral,0.0,2.25,1.0,-0.404,0.05,,,Pitcher
677955,Jaden Hill,COL,,Neutral,0.0,8.53,3.55,4.578,0.13,,,Pitcher
518886,Craig Kimbrel,NYM,,Neutral,0.0,0.0,1.28,2.868,0.07,,,Pitcher
669371,Cole Henry,WSH,,Neutral,0.0,9.0,1.03,0.139,0.1,,,Pitcher
686790,Trevor Mcdonald,SF,,Neutral,0.0,1.29,3.03,1.685,0.94,,,Pitcher
669923,George Kirby,SEA,,Neutral,0.0,2.96,3.34,2.204,98.12,9.0,,Pitcher
669372,J. t. Ginn,ATH,,Neutral,-0.0012,3.86,4.46,3.516,,163.0,,Pitcher
682227,Brandon Williamson,CIN,,Neutral,-0.0096,6.11,5.99,6.327,0.32,,,Pitcher
671096,Andrew Abbott,CIN,,Neutral,-0.011,4.76,4.69,5.224,39.77,,,Pitcher
666171,Ryan Zeferjahn,LAA,,Neutral,-0.0112,0.9,1.03,-0.059,0.29,131.0,,Pitcher
688642,Zach Agnos,COL,,Neutral,-0.0128,3.48,4.38,3.63,0.05,,,Pitcher
801403,Chase Dollander,COL,,Neutral,-0.0131,3.28,3.39,2.637,24.7,59.0,,Pitcher
695076,Rhett Lowder,CIN,,Neutral,-0.0148,3.18,2.82,3.678,9.15,92.0,,Pitcher
668964,Tobias Myers,NYM,,Neutral,-0.017,2.37,3.61,2.579,1.38,151.0,,Pitcher
543243,Sonny Gray,BOS,,Neutral,-0.0191,4.84,4.42,5.304,76.86,,,Pitcher
805123,Aj Blubaugh,HOU,,Neutral,-0.0262,3.86,5.94,4.532,0.16,,,Pitcher
696149,Bubba Chandler,PIT,,Neutral,-0.0279,4.76,5.5,5.107,30.43,,,Pitcher
663558,Jovani Morán,BOS,,Neutral,-0.0303,2.6,4.3,1.638,0.27,,,Pitcher
663554,Casey Mize,DET,,Neutral,-0.0309,2.7,2.76,3.19,23.05,82.0,,Pitcher
661563,Luis Gil,NYY,,Neutral,-0.0375,5.21,8.4,6.184,2.3,,,Pitcher
669467,Andre Pallante,STL,,Neutral,-0.0435,4.02,4.56,4.367,4.97,101.0,,Pitcher
683175,Connor Phillips,CIN,,Neutral,-0.0436,4.74,5.36,3.838,0.26,173.0,,Pitcher
669947,Jesse Scholtens,TB,,Neutral,-0.0439,3.18,3.73,4.029,1.31,112.0,,Pitcher
690986,Kyle Harrison,MIL,,Neutral,-0.0447,1.88,2.75,3.083,25.47,63.0,,Pitcher
702273,Noah Schultz,CWS,,Neutral,-0.0463,2.95,3.45,3.225,30.2,109.0,,Pitcher
663969,Tyler Phillips,MIA,,Neutral,-0.0511,2.2,3.4,3.193,1.61,113.0,,Pitcher
623454,Drew Anderson,DET,,Neutral,-0.0531,0.68,2.95,0.247,0.24,149.0,,Pitcher
677958,Kumar Rocker,TEX,,Neutral,-0.0533,3.37,3.59,4.224,2.2,,,Pitcher
694477,Chad Patrick,MIL,,Neutral,-0.0585,3.48,4.03,4.503,7.56,124.0,,Pitcher
642547,Freddy Peralta,NYM,,Neutral,-0.0607,2.58,3.6,3.491,96.15,89.0,,Pitcher
663567,Peter Lambert,HOU,,Neutral,-0.0656,2.01,2.72,3.055,3.19,121.0,,Pitcher
500779,Jose Quintana,COL,,Neutral,-0.067,4.5,6.24,5.245,0.55,,,Pitcher
663460,Kris Bubic,KC,,Slight sell,-0.0775,3.18,3.41,3.652,57.53,30.0,,Pitcher
571578,Patrick Corbin,TOR,,Slight sell,-0.0777,3.86,4.27,5.603,2.73,,,Pitcher
672456,Keider Montero,DET,,Slight sell,-0.0816,2.97,3.33,2.69,4.51,81.0,,Pitcher
676974,Max Meyer,MIA,,Slight sell,-0.0827,2.68,2.87,3.697,31.16,48.0,,Pitcher
656605,Mitch Keller,PIT,,Slight sell,-0.088,2.68,2.78,3.608,41.36,28.0,,Pitcher
607200,Erick Fedde,CWS,,Slight sell,-0.0898,4.38,5.76,4.056,2.42,144.0,,Pitcher
669461,Matthew Liberatore,STL,,Slight sell,-0.1167,4.63,5.8,5.699,3.76,114.0,,Pitcher
677960,Ryan Weathers,NYY,,Slight sell,-0.126,2.87,3.51,4.554,36.06,57.0,,Pitcher
571927,Steven Matz,TB,,Slight sell,-0.1293,3.65,4.76,4.738,15.32,38.0,,Pitcher
678906,Kai-wei Teng,HOU,,Slight sell,-0.1298,1.69,1.84,4.207,0.76,138.0,,Pitcher
676106,Emerson Hancock,SEA,,Slight sell,-0.1349,2.63,3.59,3.316,77.27,24.0,,Pitcher
681190,Randy Vásquez,SD,,Slight sell,-0.1377,3.29,3.68,4.461,46.99,41.0,,Pitcher
693821,Bryce Elder,ATL,,Slight sell,-0.1395,2.61,3.09,2.306,81.45,6.0,,Pitcher
800048,Parker Messick,CLE,,Slight sell,-0.1406,2.02,2.95,2.36,86.78,19.0,,Pitcher
660271,Shohei Ohtani,LAD,DH,Slight sell,-0.1429,1.46,2.43,1.234,99.82,26.0,117.0,Pitcher
624133,Ranger Suarez,BOS,,Sell high,-0.1624,2.61,3.16,3.21,73.95,45.0,,Pitcher
700669,Gordon Graceffo,STL,,Sell high,-0.1643,1.93,2.79,2.025,0.28,111.0,,Pitcher
592662,Robbie Ray,SF,,Sell high,-0.1704,3.0,4.39,3.671,76.47,60.0,,Pitcher
684007,Shota Imanaga,CHC,,Sell high,-0.1707,1.96,2.62,2.332,90.15,14.0,,Pitcher
681293,Spencer Arrighetti,HOU,,Sell high,-0.1777,1.96,3.77,5.674,30.68,80.0,,Pitcher
671737,Taj Bradley,MIN,,Sell high,-0.18,2.68,3.41,3.707,76.55,10.0,,Pitcher
695505,Chase Burns,CIN,,Sell high,-0.1959,2.21,3.32,2.254,92.28,17.0,,Pitcher
519242,Chris Sale,ATL,,Sell high,-0.2079,2.14,3.39,2.345,99.53,3.0,,Pitcher
813349,Connelly Early,BOS,,Sell high,-0.2296,3.53,4.8,5.236,19.35,96.0,,Pitcher
650644,Aaron Civale,ATH,,Sell high,-0.2361,2.5,3.81,4.238,7.44,68.0,,Pitcher
650633,Mike King,SD,,Sell high,-0.2937,2.09,3.73,3.968,,46.0,,Pitcher
527048,Martín Pérez,ATL,,Sell high,-0.3003,1.91,4.33,4.398,3.88,94.0,,Pitcher
656492,Foster Griffin,WSH,,Sell high,-0.3075,2.95,4.21,4.348,26.05,33.0,,Pitcher
686799,Jack Kochanowicz,LAA,,Sell high,-0.3323,2.61,3.88,4.183,13.94,50.0,,Pitcher
608379,Michael Wacha,KC,,Sell high,-0.3617,2.91,3.97,4.221,56.69,27.0,,Pitcher
663436,Davis Martin,CWS,,Sell high,-0.3638,1.66,2.34,4.148,68.68,5.0,,Pitcher
667755,José Soriano,LAA,,Sell high,-0.3924,1.76,3.27,3.693,95.03,4.0,,Pitcher
680736,Justin Wrobleski,LAD,,Sell high,-0.4392,1.25,3.11,4.153,59.99,20.0,,Pitcher
593958,Eduardo Rodríguez,AZ,,Sell high,-0.4592,2.5,4.31,4.693,16.07,36.0,,Pitcher
605280,Clay Holmes,NYM,,Sell high,-0.5053,1.69,3.54,3.646,56.77,15.0,,Pitcher
607259,Nick Martínez,TB,,Sell high,-0.5469,1.51,3.34,3.757,40.9,25.0,,Pitcher
700241,Michael Mcgreevy,STL,,Sell high,-0.6036,2.35,4.1,5.611,10.64,40.0,,Pitcher
608372,Tomoyuki Sugano,COL,,Sell high,-0.6311,2.95,4.86,6.089,5.65,65.0,,Pitcher
