batter,name,PA,BABIP,hard_hit_rate,barrel_rate,sweet_spot_rate,avg_exit_velocity,z_contact_rate,hr_fb_rate,pull_rate,o_swing_rate,gb_rate,fb_rate,bb_rate,k_rate,bb_k_ratio,wOBA,xwOBA,xwOBA_gap,team,park_factor,career_babip,babip_baseline,_age_babip,age_adj_career_babip,park_adj_babip_expected,park_adj_hrfb_expected,oaa_babip_adj,xwoba_3yr,wrc_plus_3yr,quality_tier,luck_score,platoon_modifier,career_pa,birth_year,age,seasonal_pattern,amplification_cap_applied,verdict,chase_signal,this_is_real,tier_sell,age_flag
681351,Logan O'hoppe,82,0.25,0.388,0.102,0.122,86.9938775510204,0.848,0.067,0.469,0.323,0.388,0.306,0.122,0.244,0.5,0.271,0.295,0.024,LAA,1.0,0.2807,0.2807,26,0.2807,0.2792,0.145,-0.0015,0.32306313993174063,102.6,Above Avg (100-119),0.1072,Platoon-driven (dampened),1245.0,2000,26,,False,Slight buy,,,,
596019,Francisco Lindor,100,0.271,0.444,0.097,0.139,91.00277777777778,0.86,0.111,0.486,0.29,0.389,0.25,0.08,0.19,0.421,0.304,0.336,0.032,NYM,0.95,0.3162,0.3162,33,0.3067,0.2902,0.1377,-0.0012350230414746545,0.35709250474383303,107.7,Above Avg (100-119),0.1071,,6927.0,1993,33,Summer performer (amplified),False,Slight buy,,,,
660162,Yoán Moncada,80,0.229,0.459,0.081,0.162,90.95675675675676,0.843,0.176,0.395,0.19,0.368,0.447,0.162,0.338,0.481,0.305,0.326,0.021,LAA,1.0,0.2835,0.2835,31,0.2835,0.2813,0.145,-0.002188034188034188,0.31882923299565846,101.2,Above Avg (100-119),0.1035,Platoon-driven (dampened),3489.0,1995,31,,False,Slight buy,,,,
656775,Cedric Mullins,80,0.189,0.345,0.036,0.127,85.75818181818181,0.825,0.105,0.364,0.292,0.286,0.339,0.038,0.225,0.167,0.246,0.242,-0.004,TB,0.94,0.2878,0.2878,32,0.2792,0.2673,0.1363,-0.003057324840764331,0.2889428374655647,86.2,Below Avg (85-94),0.1034,,3273.0,1994,32,Summer performer (amplified),False,Neutral,,,,
641343,Jake Bauers,78,0.226,0.544,0.088,0.175,92.89824561403508,0.854,0.25,0.456,0.203,0.439,0.281,0.09,0.179,0.5,0.305,0.385,0.08,MIL,1.0,0.2598,0.2598,31,0.2598,0.261,0.145,0.001245674740484429,0.32773444976076554,104.0,Above Avg (100-119),0.1024,Platoon-driven (dampened),2012.0,1995,31,Fader conflict (dampened),False,Slight buy,,,,
682829,Elly De la cruz,108,0.305,0.585,0.169,0.2,95.49076923076925,0.821,0.4,0.433,0.242,0.478,0.299,0.093,0.287,0.323,0.388,0.419,0.031,CIN,1.08,0.3057,0.3057,24,0.3057,0.3311,0.1566,0.0008808988764044944,0.3210718990120746,110.1,Above Avg (100-119),0.0995,Anti-platoon luck (amplified),1895.0,2002,24,,False,Slight buy,,Confirmed,,
592206,Nick Castellanos,50,0.212,0.364,0.061,0.182,87.8030303030303,0.803,0.0,0.606,0.441,0.303,0.303,0.06,0.28,0.214,0.201,0.28,0.079,SD,1.0,0.3097,0.3097,34,0.3004,0.3131,0.145,0.004691099476439791,0.3210125065138093,101.9,Above Avg (100-119),0.0975,,6988.0,1992,34,,False,Slight buy,,,,
691723,Coby Mayo,66,0.205,0.366,0.049,0.122,86.79268292682927,0.833,0.167,0.425,0.304,0.439,0.293,0.106,0.273,0.389,0.255,0.301,0.046,BAL,1.0,,0.3,25,0.3,0.2998,0.145,-0.00015810276679841898,0.27993529411764706,88.9,Below Avg (85-94),0.0971,,384.0,2001,25,,False,Slight buy,,,,
681715,Heriberto Hernandez,66,0.233,0.419,0.047,0.186,89.78604651162792,0.789,0.0,0.372,0.161,0.512,0.256,0.136,0.197,0.692,0.28,0.303,0.023,MIA,0.95,,0.3,27,0.3,0.2756,0.1377,0.0006180257510729614,0.334,100.7,Above Avg (100-119),0.0953,,344.0,1999,27,,False,Slight buy,,,,
701358,Cam Smith,99,0.29,0.469,0.156,0.172,89.89375,0.863,0.158,0.277,0.312,0.415,0.292,0.101,0.222,0.455,0.327,0.379,0.052,HOU,1.0,,0.3,23,0.3,0.3033,0.145,0.00326491646778043,0.304,96.5,Average (95-99),0.0947,Anti-platoon luck (amplified),561.0,2003,23,,False,Slight buy,,,,
543807,George Springer,62,0.211,0.425,0.1,0.175,88.925,0.897,0.167,0.45,0.244,0.4,0.3,0.129,0.226,0.571,0.323,0.318,-0.005,TOR,1.0,0.3122,0.3122,37,0.2841,0.2883,0.145,0.004207171314741036,0.3513988316516198,111.6,Above Avg (100-119),0.0943,,6437.0,1989,37,Slow starter (amplified),False,Neutral,,,,
605137,Josh Bell,97,0.284,0.414,0.086,0.171,88.31857142857143,0.835,0.143,0.486,0.251,0.314,0.3,0.113,0.155,0.733,0.343,0.37,0.027,MIN,1.0,0.3004,0.3004,34,0.2914,0.299,0.145,-0.0004086021505376344,0.33720136908157444,107.0,Above Avg (100-119),0.0922,Anti-platoon luck (amplified),5227.0,1992,34,Summer performer (amplified),False,Slight buy,,,,
686217,Sal Frelick,83,0.246,0.213,0.0,0.0,83.65901639344261,0.949,0.0,0.426,0.214,0.541,0.18,0.096,0.145,0.667,0.277,0.256,-0.021,MIL,1.0,0.32,0.32,26,0.32,0.3118,0.145,0.0018348623853211008,0.2925816554809843,92.9,Below Avg (85-94),0.0889,Platoon-driven (dampened),1398.0,2000,26,,False,Neutral,,,,
621439,Byron Buxton,102,0.271,0.484,0.172,0.172,88.14375,0.825,0.2,0.422,0.349,0.234,0.391,0.069,0.284,0.241,0.315,0.333,0.018,MIN,1.0,0.298,0.298,33,0.2891,0.2969,0.145,-0.00022038567493112948,0.34228034455755674,108.7,Above Avg (100-119),0.0876,Anti-platoon luck (amplified),3484.0,1993,33,,False,Slight buy,,,,
571448,Nolan Arenado,81,0.263,0.262,0.082,0.131,84.42295081967214,0.807,0.267,0.311,0.339,0.328,0.246,0.025,0.222,0.111,0.287,0.325,0.038,AZ,1.0,0.3192,0.3192,35,0.3,0.3093,0.145,0.0013291536050156739,0.3040457516339869,96.5,Average (95-99),0.0866,,7571.0,1991,35,,False,Slight buy,,,,
669257,Will Smith,81,0.298,0.345,0.086,0.155,88.94827586206897,0.908,0.048,0.293,0.184,0.328,0.362,0.111,0.173,0.643,0.307,0.323,0.016,LAD,1.0,0.314,0.314,31,0.314,0.3228,0.145,0.0008065395095367847,0.353348109517601,112.2,Above Avg (100-119),0.0861,,3001.0,1995,31,,False,Slight buy,,,,
695657,Colson Montgomery,93,0.277,0.358,0.132,0.17,88.24339622641509,0.782,0.316,0.509,0.27,0.34,0.358,0.097,0.29,0.333,0.361,0.361,0.0,CWS,1.0,,0.3,24,0.3,0.3076,0.145,-0.0003615819209039548,0.341,108.3,Above Avg (100-119),0.0858,Anti-platoon luck (amplified),347.0,2002,24,,False,Neutral,,,,
608324,Alex Bregman,113,0.289,0.44,0.071,0.143,90.02738095238095,0.894,0.105,0.412,0.176,0.424,0.224,0.106,0.142,0.75,0.33,0.337,0.007,CHC,1.0,0.3128,0.3128,32,0.3034,0.3054,0.145,0.0019563318777292577,0.33914570966001073,107.7,Above Avg (100-119),0.0848,,5402.0,1994,32,Summer performer (amplified),False,Neutral,,,,
673357,Luis Robert,89,0.25,0.468,0.032,0.113,91.43064516129031,0.894,0.118,0.339,0.308,0.468,0.274,0.124,0.18,0.688,0.305,0.336,0.031,NYM,0.95,0.3013,0.3013,29,0.3013,0.2853,0.1377,-0.0009074626865671642,0.3205313576843556,96.7,Average (95-99),0.0848,Platoon-driven (dampened),2437.0,1997,29,Fader conflict (dampened),False,Slight buy,,,,
677951,Bobby Witt,110,0.355,0.547,0.12,0.267,92.46,0.855,0.0,0.316,0.328,0.342,0.184,0.118,0.191,0.619,0.329,0.39,0.061,KC,1.0,0.3406,0.3406,26,0.3406,0.3497,0.145,0.0011455399061032863,0.38024401913875594,120.7,Elite (120-129),0.083,Platoon-driven (dampened),2793.0,2000,26,V-shape seasonal (strong buy) + fader conflict,False,Slight buy,,,,
666310,Bo Naylor,54,0.167,0.459,0.108,0.189,90.57837837837836,0.935,0.077,0.459,0.211,0.351,0.351,0.093,0.222,0.417,0.208,0.347,0.139,CLE,1.0,0.2566,0.2566,26,0.2566,0.2546,0.145,-0.002024896265560166,0.28530977734753143,90.6,Below Avg (85-94),0.0829,,1078.0,2000,26,,False,Slight buy,,,,
667670,Brent Rooker,49,0.167,0.423,0.192,0.192,89.04230769230769,0.755,0.222,0.462,0.302,0.462,0.346,0.122,0.347,0.353,0.278,0.317,0.039,ATH,0.96,0.318,0.318,32,0.3085,0.2915,0.1392,-0.0047030303030303035,0.35844208809135397,109.2,Above Avg (100-119),0.081,,2158.0,1994,32,,False,Slight buy,,,,
672275,Patrick Bailey,63,0.174,0.422,0.044,0.111,90.0822222222222,0.894,0.083,0.447,0.272,0.489,0.255,0.079,0.175,0.455,0.202,0.29,0.088,SF,0.91,0.2796,0.2796,27,0.2796,0.2563,0.1319,0.001870967741935484,0.29826017557861134,86.2,Below Avg (85-94),0.0804,,1298.0,1999,27,Fader conflict (dampened),False,Slight buy,,,,
672695,Geraldo Perdomo,90,0.277,0.25,0.016,0.078,84.5171875,0.938,0.0,0.554,0.213,0.552,0.179,0.133,0.122,1.091,0.305,0.288,-0.017,AZ,1.0,0.3052,0.3052,27,0.3052,0.2965,0.145,0.001276595744680851,0.3149039301310044,100.0,Above Avg (100-119),0.0762,Anti-platoon luck (amplified),2209.0,1999,27,,False,Neutral,,,,
694377,Nick Yorke,71,0.265,0.52,0.06,0.1,90.764,0.942,0.067,0.26,0.257,0.54,0.3,0.099,0.169,0.583,0.309,0.347,0.038,PIT,1.0,,0.3,24,0.3,0.2917,0.145,0.0017313432835820897,0.30194736842105263,95.9,Average (95-99),0.0759,,161.0,2002,24,,False,Slight buy,,,,
671277,Luis García,84,0.288,0.439,0.061,0.091,91.07575757575758,0.949,0.077,0.388,0.399,0.507,0.194,0.048,0.155,0.308,0.307,0.306,-0.001,WSH,1.0,0.3183,0.3183,26,0.3183,0.3057,0.145,-0.002585858585858586,0.3282109375,104.2,Above Avg (100-119),0.0757,,2354.0,2000,26,V-shape seasonal (strong buy),False,Neutral,,,,
804606,Konnor Griffin,73,0.267,0.267,0.089,0.089,84.7088888888889,0.857,0.0,0.467,0.408,0.556,0.222,0.055,0.301,0.182,0.249,0.249,0.0,PIT,1.0,,0.3,20,0.3,0.292,0.145,0.002042553191489362,,100.0,Above Avg (100-119),0.0753,Anti-platoon luck (amplified),39.0,2006,20,,False,Neutral,,,,
593871,Jorge Polanco,56,0.19,0.326,0.023,0.14,87.93023255813954,0.902,0.1,0.535,0.342,0.372,0.233,0.054,0.179,0.3,0.221,0.28,0.059,NYM,0.95,0.2935,0.2935,33,0.2847,0.2696,0.1377,-0.0008932038834951456,0.3332125748502994,100.5,Above Avg (100-119),0.0749,Platoon-driven (dampened),4579.0,1993,33,,False,Slight buy,,,,
682668,Luisangel Acuña,66,0.216,0.392,0.039,0.059,88.91764705882353,0.88,0.0,0.294,0.34,0.615,0.231,0.045,0.152,0.3,0.201,0.249,0.048,CWS,1.0,,0.3,24,0.3,0.2888,0.145,-0.0012032520325203251,0.2771802575107296,88.0,Below Avg (85-94),0.0745,Anti-platoon luck (amplified),283.0,2002,24,,False,Slight buy,,,,
678554,Curtis Mead,55,0.184,0.439,0.098,0.098,88.49756097560976,0.942,0.3,0.537,0.281,0.488,0.244,0.091,0.164,0.556,0.323,0.363,0.04,WSH,1.0,,0.3,26,0.3,0.2966,0.145,-0.003408695652173913,0.2844672131147541,90.3,Below Avg (85-94),0.0725,,519.0,2000,26,,False,Slight buy,,,,
663656,Kyle Tucker,102,0.302,0.379,0.076,0.167,87.23030303030303,0.852,0.136,0.424,0.27,0.394,0.333,0.108,0.245,0.44,0.318,0.313,-0.005,LAD,1.0,0.3223,0.3223,29,0.3223,0.3226,0.145,0.0002864450127877238,0.38417763975155284,122.0,Elite (120-129),0.0713,Anti-platoon luck (amplified),3229.0,1997,29,,False,Neutral,,,,
700337,Edgar Quero,65,0.22,0.3,0.0,0.05,90.0275,0.875,0.0,0.366,0.257,0.548,0.262,0.138,0.2,0.692,0.255,0.273,0.018,CWS,1.0,,0.3,23,0.3,0.2894,0.145,-0.0005779467680608365,0.29,92.1,Below Avg (85-94),0.0713,Anti-platoon luck (amplified),445.0,2003,23,,False,Slight buy,,,,
642708,Amed Rosario,58,0.244,0.422,0.133,0.178,91.24666666666668,0.849,0.308,0.326,0.393,0.422,0.289,0.069,0.155,0.444,0.359,0.419,0.06,NYY,1.0,0.3255,0.3255,31,0.3255,0.3277,0.145,0.0022135922330097087,0.3033780036968577,96.3,Average (95-99),0.0695,,3933.0,1995,31,V-shape seasonal (strong buy) + fader conflict,False,Slight buy,,,,
669357,Nolan Gorman,84,0.255,0.38,0.04,0.1,86.652,0.809,0.167,0.5,0.311,0.32,0.36,0.107,0.298,0.36,0.276,0.285,0.009,STL,1.0,0.268,0.268,26,0.268,0.2763,0.145,0.00030939226519337016,0.3199305993690851,101.6,Above Avg (100-119),0.0693,,1638.0,2000,26,,False,Neutral,,,,
669394,Jake Burger,101,0.27,0.478,0.09,0.209,88.95223880597015,0.86,0.267,0.448,0.415,0.507,0.224,0.03,0.297,0.1,0.297,0.304,0.007,TEX,1.05,0.2967,0.2967,30,0.2967,0.3036,0.1522,0.0020652173913043477,0.3424515050167224,114.2,Above Avg (100-119),0.0674,Anti-platoon luck (amplified),1788.0,1996,30,,False,Neutral,,,,
641857,Ryan Mcmahon,55,0.185,0.607,0.107,0.071,92.425,0.841,0.1,0.429,0.267,0.536,0.357,0.164,0.327,0.5,0.249,0.298,0.049,NYY,1.0,0.2863,0.2863,32,0.2777,0.2706,0.145,0.0029090909090909093,0.3277852529601723,104.1,Above Avg (100-119),0.066,,4054.0,1994,32,Fader conflict (dampened),False,Slight buy,,,,
624413,Pete Alonso,106,0.279,0.531,0.078,0.188,94.1234375,0.839,0.15,0.281,0.249,0.422,0.312,0.132,0.255,0.519,0.32,0.341,0.021,BAL,1.0,0.3012,0.3012,32,0.2922,0.2918,0.145,-0.0003559718969555035,0.3667560620756547,116.4,Above Avg (100-119),0.066,Anti-platoon luck (amplified),4387.0,1994,32,,False,Slight buy,,,,
665862,Jazz Chisholm,91,0.269,0.346,0.038,0.058,86.46538461538461,0.786,0.071,0.453,0.289,0.415,0.264,0.099,0.319,0.31,0.249,0.227,-0.022,NYY,1.0,0.3005,0.3005,28,0.3005,0.3037,0.145,0.003243243243243243,0.3245368078175896,103.0,Above Avg (100-119),0.0644,Platoon-driven (dampened),2410.0,1998,28,Slow starter (amplified),False,Neutral,,,,
702284,Cole Young,99,0.292,0.358,0.06,0.134,86.85671641791045,0.793,0.118,0.507,0.281,0.343,0.254,0.111,0.202,0.55,0.312,0.344,0.032,SEA,1.0,,0.3,23,0.3,0.3057,0.145,-0.0023111111111111114,0.297,94.3,Below Avg (85-94),0.0634,Anti-platoon luck (amplified),323.0,2003,23,,False,Neutral,,,,
687637,Dylan Beavers,70,0.283,0.383,0.043,0.128,87.54468085106383,0.857,0.1,0.404,0.236,0.489,0.213,0.1,0.229,0.438,0.294,0.308,0.014,BAL,1.0,,0.3,25,0.3,0.2993,0.145,-0.0006508474576271187,0.344,109.2,Above Avg (100-119),0.0622,,183.0,2001,25,,False,Neutral,,,,
691785,Marcelo Mayer,66,0.205,0.364,0.091,0.114,86.01363636363637,0.886,0.067,0.333,0.252,0.444,0.333,0.091,0.197,0.462,0.259,0.302,0.043,BOS,1.0,,0.3,24,0.3,0.2965,0.145,-0.0034879999999999998,0.267,84.8,Poor (<85),0.0622,,186.0,2002,24,,False,Neutral,,,,
672580,Maikel García,110,0.312,0.443,0.089,0.177,89.24303797468355,0.931,0.105,0.367,0.197,0.43,0.241,0.1,0.182,0.55,0.322,0.356,0.034,KC,1.0,0.3128,0.3128,26,0.3128,0.3141,0.145,0.0012807424593967518,0.3203320420586608,101.7,Above Avg (100-119),0.0609,Platoon-driven (dampened),1902.0,2000,26,,False,Neutral,,,,
672761,Wenceel Pérez,37,0.033,0.484,0.097,0.129,90.81612903225808,1.0,0.1,0.548,0.221,0.419,0.323,0.054,0.108,0.5,0.116,0.335,0.219,DET,1.0,0.2929,0.2929,27,0.2929,0.2888,0.145,-0.004063492063492063,0.3021101485148515,95.9,Average (95-99),0.0599,,824.0,1999,27,,False,Neutral,,,,
682877,Juan Brito,48,0.241,0.276,0.034,0.138,82.4793103448276,0.828,0.0,0.483,0.378,0.448,0.172,0.062,0.312,0.2,0.211,0.244,0.033,CLE,1.0,,0.3,25,0.3,0.2981,0.145,-0.0018522167487684729,,100.0,Above Avg (100-119),0.0589,Platoon-driven (dampened),24.0,2001,25,,False,Neutral,,,,
671739,Michael Harris,90,0.328,0.58,0.188,0.232,95.21884057971016,0.92,0.429,0.42,0.39,0.5,0.2,0.056,0.167,0.333,0.394,0.492,0.098,ATL,1.0,0.3234,0.3234,25,0.3234,0.3248,0.145,0.001386018237082067,0.33722363636363634,107.1,Above Avg (100-119),0.058,Platoon-driven (dampened),2148.0,2001,25,,False,Neutral,,Confirmed,,
518692,Freddie Freeman,96,0.324,0.494,0.156,0.221,92.15584415584416,0.876,0.12,0.39,0.302,0.403,0.325,0.083,0.104,0.8,0.386,0.434,0.048,LAD,1.0,0.3598,0.3598,37,0.3274,0.328,0.145,0.0005667574931880109,0.3765674185463659,119.5,Above Avg (100-119),0.0569,,9434.0,1989,37,Fader conflict (dampened),False,Neutral,,Confirmed,,
664040,Brandon Lowe,93,0.269,0.368,0.105,0.175,85.6280701754386,0.797,0.294,0.404,0.326,0.333,0.298,0.129,0.247,0.522,0.375,0.397,0.022,PIT,1.0,0.2912,0.2912,32,0.2825,0.2924,0.145,0.0018693467336683416,0.3386301272984441,107.5,Above Avg (100-119),0.0554,Platoon-driven (dampened),3059.0,1994,32,Fader conflict (dampened),False,Neutral,,Confirmed,,
665561,Rafael Marchán,36,0.08,0.269,0.038,0.0,88.19999999999999,0.907,0.083,0.385,0.316,0.192,0.462,0.0,0.25,0.0,0.125,0.183,0.058,PHI,1.06,,0.3,27,0.3,0.3271,0.1537,0.0010992366412213741,0.301551724137931,101.5,Above Avg (100-119),0.0548,,259.0,1999,27,,False,Neutral,,,,
664056,Harrison Bader,52,0.147,0.4,0.086,0.114,87.60285714285715,0.81,0.143,0.457,0.387,0.6,0.2,0.038,0.288,0.133,0.159,0.28,0.121,SF,0.91,0.2994,0.2994,32,0.2904,0.2556,0.1319,0.0012653061224489797,0.2952667706708268,85.3,Below Avg (85-94),0.0535,,3101.0,1994,32,Fader conflict (dampened),False,Neutral,,,,
663538,Nico Hoerner,114,0.318,0.276,0.034,0.138,85.90114942528736,0.98,0.16,0.382,0.326,0.348,0.281,0.096,0.096,1.0,0.399,0.403,0.004,CHC,1.0,0.3338,0.3338,29,0.3338,0.3436,0.145,0.0017603911980440096,0.3175733063700708,100.8,Above Avg (100-119),0.0533,Platoon-driven (dampened),2946.0,1997,29,,False,Neutral,,Confirmed,,
666182,Bo Bichette,106,0.312,0.436,0.038,0.09,90.97307692307692,0.912,0.091,0.192,0.427,0.551,0.141,0.047,0.217,0.217,0.279,0.335,0.056,NYM,0.95,0.3409,0.3409,28,0.3409,0.3129,0.1377,-0.0010256410256410256,0.3434172523961661,103.6,Above Avg (100-119),0.0514,Platoon-driven (dampened),3369.0,1998,28,,False,Neutral,,,,
681481,Kerry Carpenter,74,0.29,0.528,0.139,0.194,93.36666666666666,0.734,0.312,0.472,0.29,0.389,0.444,0.122,0.365,0.333,0.353,0.37,0.017,DET,1.0,0.3177,0.3177,29,0.3177,0.315,0.145,-0.0027194719471947196,0.34681378178835115,110.1,Above Avg (100-119),0.0497,,1389.0,1997,29,V-shape seasonal (strong buy),False,Neutral,,,,
664983,Jake Mccarthy,55,0.297,0.27,0.054,0.216,82.98648648648648,0.821,0.0,0.324,0.304,0.525,0.15,0.073,0.182,0.4,0.309,0.291,-0.018,COL,1.18,0.3118,0.3118,29,0.3118,0.3546,0.1711,-0.0032864864864864864,0.30219825072886297,113.2,Above Avg (100-119),0.0492,,1489.0,1997,29,Slow starter (amplified) + fader conflict,False,Neutral,,,,
694671,Wyatt Langford,80,0.31,0.373,0.051,0.119,90.63050847457627,0.84,0.077,0.237,0.294,0.441,0.22,0.05,0.212,0.235,0.293,0.306,0.013,TEX,1.05,0.2974,0.2974,25,0.2974,0.3156,0.1522,0.0033333333333333335,0.3390991150442478,113.0,Above Avg (100-119),0.0479,Anti-platoon luck (amplified),1184.0,2001,25,,False,Neutral,,,,
805779,Jacob Wilson,105,0.303,0.344,0.022,0.089,84.37777777777778,0.924,0.105,0.286,0.451,0.505,0.209,0.01,0.124,0.077,0.301,0.3,-0.001,ATH,0.96,0.3514,0.3514,24,0.3514,0.326,0.1392,-0.0013217391304347827,0.3018610223642172,92.0,Below Avg (85-94),0.0476,,690.0,2002,24,,False,Neutral,,,,
656555,Rhys Hoskins,65,0.242,0.412,0.088,0.147,89.22941176470589,0.756,0.091,0.5,0.235,0.265,0.324,0.169,0.308,0.55,0.282,0.296,0.014,CLE,1.0,0.2835,0.2835,33,0.275,0.2815,0.145,-0.0015364238410596027,0.309105325443787,98.1,Average (95-99),0.0449,Anti-platoon luck (amplified),3772.0,1993,33,,False,Neutral,,,,
596115,Trevor Story,104,0.254,0.446,0.031,0.092,89.01384615384615,0.806,0.133,0.385,0.454,0.492,0.231,0.048,0.327,0.147,0.245,0.253,0.008,BOS,1.0,0.298,0.298,34,0.2891,0.2861,0.145,-0.0030352303523035235,0.29673275862068965,94.2,Below Avg (85-94),0.0445,,4532.0,1992,34,,False,Neutral,,,,
665019,Kody Clemens,56,0.214,0.433,0.167,0.233,92.51,0.862,0.182,0.433,0.275,0.355,0.355,0.107,0.321,0.333,0.284,0.36,0.076,MIN,1.0,0.2561,0.2561,30,0.2561,0.2571,0.145,0.0009666666666666667,0.30452293577981654,96.7,Average (95-99),0.044,,814.0,1996,30,,False,Neutral,,,,
602104,Ramón Urías,51,0.188,0.382,0.118,0.147,90.4529411764706,0.857,0.2,0.294,0.267,0.412,0.294,0.098,0.196,0.5,0.319,0.319,0.0,STL,1.0,0.3013,0.3013,32,0.2923,0.2943,0.145,0.0020476190476190477,0.2977077205882353,94.5,Below Avg (85-94),0.0424,Platoon-driven (dampened),1890.0,1994,32,,False,Neutral,,,,
672820,Lenyn Sosa,51,0.286,0.381,0.048,0.119,89.89285714285714,0.895,0.0,0.405,0.485,0.302,0.279,0.0,0.157,0.0,0.25,0.283,0.033,CWS,1.0,0.3005,0.3005,26,0.3005,0.3066,0.145,-0.001925133689839572,0.3185662983425414,101.1,Above Avg (100-119),0.0421,Platoon-driven (dampened),1155.0,2000,26,,False,Neutral,,,,
657041,Lane Thomas,54,0.25,0.361,0.0,0.083,85.33888888888889,0.853,0.0,0.306,0.237,0.194,0.333,0.167,0.167,1.0,0.273,0.306,0.033,KC,1.0,0.2944,0.2944,31,0.2944,0.3031,0.145,0.0006545454545454546,0.3078934911242603,97.7,Average (95-99),0.0413,Platoon-driven (dampened),2277.0,1995,31,Slow starter (amplified) + fader conflict,False,Neutral,,,,
677950,Alek Thomas,65,0.239,0.477,0.068,0.227,90.10454545454546,0.941,0.0,0.457,0.447,0.511,0.213,0.046,0.215,0.214,0.255,0.28,0.025,AZ,1.0,0.2832,0.2832,26,0.2832,0.2741,0.145,0.0008598130841121495,0.2956416837782341,93.9,Below Avg (85-94),0.0407,,1438.0,2000,26,Fader conflict (dampened),False,Neutral,,,,
660844,Leo Rivas,69,0.243,0.108,0.0,0.027,86.1,0.882,0.0,0.405,0.211,0.405,0.27,0.13,0.319,0.409,0.234,0.233,-0.001,SEA,1.0,,0.3,29,0.3,0.2988,0.145,-0.001238390092879257,0.29498477157360403,93.6,Below Avg (85-94),0.0402,Platoon-driven (dampened),244.0,1997,29,,False,Neutral,,,,
664770,Nathan Lukes,55,0.267,0.356,0.0,0.133,86.67333333333333,0.878,0.0,0.378,0.444,0.467,0.222,0.018,0.127,0.143,0.27,0.278,0.008,TOR,1.0,0.3134,0.3134,32,0.304,0.3071,0.145,0.0030769230769230774,0.3152267857142857,100.1,Above Avg (100-119),0.0396,,589.0,1994,32,,False,Neutral,,,,
668901,Mark Vientos,67,0.255,0.408,0.041,0.082,88.7204081632653,0.828,0.133,0.367,0.338,0.49,0.306,0.06,0.209,0.286,0.273,0.28,0.007,NYM,0.95,0.2911,0.2911,27,0.2911,0.2775,0.1377,0.0009612403100775194,0.3229034782608696,97.4,Average (95-99),0.0394,Platoon-driven (dampened),1235.0,1999,27,,False,Neutral,,,,
694374,Tim Tawa,40,0.143,0.333,0.037,0.111,87.14444444444445,0.855,0.0,0.321,0.293,0.552,0.172,0.125,0.15,0.833,0.222,0.286,0.064,AZ,1.0,,0.3,27,0.3,0.2897,0.145,-0.0002711864406779661,0.29,92.1,Below Avg (85-94),0.0383,Platoon-driven (dampened),260.0,1999,27,,False,Neutral,,,,
687363,Victor Scott,68,0.231,0.211,0.0,0.053,81.71315789473684,0.831,0.0,0.462,0.235,0.682,0.068,0.074,0.279,0.263,0.211,0.247,0.036,STL,1.0,0.2564,0.2564,25,0.2564,0.2473,0.145,0.0008816326530612245,0.2779708737864078,88.2,Below Avg (85-94),0.0382,Anti-platoon luck (amplified),668.0,2001,25,,False,Neutral,,,,
696285,Jacob Young,81,0.286,0.312,0.031,0.109,87.3859375,0.881,0.091,0.375,0.256,0.431,0.169,0.037,0.148,0.25,0.29,0.325,0.035,WSH,1.0,0.2964,0.2964,27,0.2964,0.293,0.145,-0.0034048442906574393,0.29184791252485087,92.7,Below Avg (85-94),0.0379,,1055.0,1999,27,,False,Neutral,,,,
686527,Dominic Canzone,56,0.289,0.436,0.154,0.231,93.8974358974359,0.852,0.062,0.282,0.345,0.179,0.41,0.071,0.214,0.333,0.312,0.379,0.067,SEA,1.0,0.2973,0.2973,29,0.2973,0.3026,0.145,-0.0026926829268292683,0.34405007824726136,109.2,Above Avg (100-119),0.0378,,677.0,1997,29,,False,Neutral,,,,
682928,Cj Abrams,105,0.29,0.478,0.13,0.174,90.0,0.868,0.292,0.406,0.361,0.391,0.348,0.124,0.162,0.765,0.427,0.457,0.03,WSH,1.0,0.2989,0.2989,26,0.2989,0.2965,0.145,-0.00244559585492228,0.3109189627228526,98.7,Average (95-99),0.036,Platoon-driven (dampened),2218.0,2000,26,Fader conflict (dampened),False,Neutral,,Confirmed,,
677587,Brayan Rocchio,87,0.254,0.292,0.031,0.062,85.47384615384615,0.857,0.231,0.379,0.298,0.448,0.194,0.115,0.103,1.111,0.344,0.355,0.011,CLE,1.0,0.2714,0.2714,25,0.2714,0.2694,0.145,-0.002005509641873278,0.2789297475301866,88.5,Below Avg (85-94),0.0351,Anti-platoon luck (amplified),973.0,2001,25,,False,Neutral,,,,
514888,José Altuve,109,0.31,0.397,0.082,0.164,85.87945205479451,0.866,0.231,0.5,0.301,0.473,0.176,0.128,0.193,0.667,0.351,0.354,0.003,HOU,1.0,0.3405,0.3405,36,0.3201,0.3228,0.145,0.00272,0.3149358533791523,100.0,Above Avg (100-119),0.0351,,8770.0,1990,36,,False,Neutral,,,,
666160,Mickey Moniak,72,0.311,0.415,0.132,0.208,90.65283018867925,0.919,0.381,0.528,0.397,0.321,0.396,0.042,0.222,0.188,0.451,0.409,-0.042,COL,1.18,0.2986,0.2986,28,0.2986,0.3579,0.1711,-0.002402930402930403,0.3112029950083195,116.6,Above Avg (100-119),0.0348,,1405.0,1998,28,,False,Neutral,,Confirmed,,
