name,mlbam_id,april_pa,ros_pa,actual_hr,actual_r,actual_rbi,actual_avg,actual_ros_woba,model_hr,model_r,model_rbi,model_avg,model_woba,naive_hr,naive_r,naive_rbi,naive_avg,naive_woba,rtm_hr,rtm_r,rtm_rbi,rtm_avg,rtm_woba,hr_err,signal,signal_norm,signal_hr,signal_avg,signal_woba
Oneil Cruz,665833,120,290,20.0,62.0,61.0,0.2,0.3084482758620689,22.8,70.8,64.8,0.262,0.36073,37.199999999999996,78.0,74.39999999999999,0.253,0.37833333333333335,27.599999999999998,70.8,66.0,0.25,0.3481666666666667,2.8000000000000007,Neutral,neutral,22.8,0.262,0.36073
Alex Bregman,608324,142,133,18.0,64.0,62.0,0.273,,18.0,67.2,61.199999999999996,0.265,0.35101,27.599999999999998,84.0,80.39999999999999,0.331,0.42640845070422534,22.8,73.2,69.6,0.289,0.37220422535211267,0.0,Sell high,sell high,18.0,0.265,0.3229292
Xander Bogaerts,593428,121,320,11.0,63.0,53.0,0.263,0.33062500000000006,10.799999999999999,64.8,56.4,0.276,0.31113,3.5999999999999996,52.8,42.0,0.243,0.3090909090909091,10.799999999999999,58.8,50.4,0.245,0.31354545454545457,-0.20000000000000107,Neutral,neutral,10.799999999999999,0.276,0.31113
Kyle Stowers,669065,111,281,25.0,61.0,73.0,0.288,0.40711743772241993,20.4,61.199999999999996,56.4,0.225,0.32169,19.2,78.0,69.6,0.323,0.39189189189189194,19.2,70.8,64.8,0.285,0.354945945945946,-4.600000000000001,Sell high,sell high,20.4,0.225,0.2959548
Nolan Schanuel,694384,111,343,12.0,64.0,53.0,0.264,0.3543731778425656,9.6,58.8,50.4,0.249,0.30107,9.6,58.8,49.199999999999996,0.253,0.331981981981982,13.2,61.199999999999996,52.8,0.25,0.324990990990991,-2.4000000000000004,Neutral,neutral,9.6,0.249,0.30107
Anthony Volpe,683011,132,302,19.0,65.0,72.0,0.212,0.2870860927152318,14.399999999999999,58.8,52.8,0.234,0.3091,20.4,63.599999999999994,57.599999999999994,0.239,0.343939393939394,19.2,63.599999999999994,57.599999999999994,0.243,0.330969696969697,-4.600000000000001,Neutral,neutral,14.399999999999999,0.234,0.3091
Zach McKinstry,656716,112,261,12.0,68.0,49.0,0.259,0.3385057471264368,13.2,58.8,49.199999999999996,0.227,0.30372,4.8,68.39999999999999,54.0,0.323,0.384375,10.799999999999999,66.0,55.199999999999996,0.285,0.3511875,1.1999999999999993,Sell high,sell high,13.2,0.227,0.2794224
Mike Trout,545361,121,240,26.0,73.0,64.0,0.232,0.3745833333333334,21.599999999999998,70.8,66.0,0.271,0.37038,40.8,66.0,68.39999999999999,0.179,0.30206611570247943,30.0,64.8,63.599999999999994,0.214,0.3100330578512397,-4.400000000000002,Buy low,buy low,22.68,0.271,0.4000104
Caleb Durbin,702332,45,266,11.0,60.0,53.0,0.256,0.3272556390977444,10.799999999999999,58.8,52.8,0.249,0.31817,12.0,60.0,56.4,0.263,0.3333333333333333,15.6,62.4,56.4,0.253,0.32566666666666666,-0.20000000000000107,neutral,neutral,10.799999999999999,0.249,0.31817
Nick Castellanos,592206,122,315,17.0,72.0,72.0,0.25,0.3242857142857143,15.6,66.0,60.0,0.265,0.33054,13.2,63.599999999999994,57.599999999999994,0.27,0.32868852459016396,15.6,63.599999999999994,57.599999999999994,0.259,0.32334426229508195,-1.4000000000000004,Neutral,neutral,15.6,0.265,0.33054
Mickey Moniak,666160,83,208,24.0,62.0,68.0,0.27,0.38100961538461536,15.6,61.199999999999996,55.199999999999996,0.24,0.31114,19.2,55.199999999999996,51.6,0.2,0.3,19.2,60.0,55.199999999999996,0.226,0.309,-8.4,Buy low,buy low,16.38,0.24,0.33603120000000003
Mike Yastrzemski,573262,107,265,17.0,68.0,46.0,0.233,0.2849056603773585,14.399999999999999,60.0,51.6,0.232,0.32664,25.2,74.39999999999999,67.2,0.278,0.39999999999999997,21.599999999999998,68.39999999999999,62.4,0.263,0.359,-2.6000000000000014,Sell high,sell high,14.399999999999999,0.232,0.3005088
Gavin Sheets,657757,94,301,19.0,57.0,71.0,0.252,0.3224252491694352,12.0,56.4,49.199999999999996,0.229,0.29511,18.0,64.8,60.0,0.262,0.3351063829787234,18.0,63.599999999999994,58.8,0.255,0.3265531914893617,-7.0,Sell high,sell high,12.0,0.229,0.2715012
Drake Baldwin,686948,58,200,19.0,56.0,80.0,0.274,0.37925,16.8,64.8,57.599999999999994,0.253,0.33213,19.2,64.8,58.8,0.25,0.3241379310344828,18.0,63.599999999999994,57.599999999999994,0.249,0.3210689655172414,-2.1999999999999993,neutral,neutral,16.8,0.253,0.33213
Alejandro Kirk,672386,93,253,15.0,45.0,76.0,0.282,0.3719367588932806,13.2,63.599999999999994,57.599999999999994,0.261,0.31279,12.0,55.199999999999996,52.8,0.239,0.2682795698924731,14.399999999999999,58.8,55.199999999999996,0.243,0.29313978494623655,-1.8000000000000007,Buy low,buy low,13.86,0.261,0.33781320000000004
Will Smith,669257,85,247,17.0,64.0,61.0,0.296,0.41882591093117416,18.0,66.0,60.0,0.259,0.34098,19.2,74.39999999999999,67.2,0.306,0.3788235294117647,19.2,69.6,62.4,0.274,0.34841176470588237,1.0,Slight sell,slight sell,18.0,0.259,0.3273408
Addison Barger,680718,28,296,21.0,61.0,74.0,0.243,0.36486486486486486,15.6,54.0,49.199999999999996,0.203,0.28029,0.0,37.199999999999996,31.2,0.185,0.22321428571428573,14.399999999999999,57.599999999999994,52.8,0.234,0.2706071428571429,-5.4,neutral,neutral,15.6,0.203,0.28029
Jordan Beck,687597,65,322,16.0,62.0,53.0,0.258,0.333695652173913,16.8,61.199999999999996,54.0,0.233,0.28576,43.199999999999996,85.2,85.2,0.278,0.42769230769230765,27.599999999999998,72.0,68.39999999999999,0.26,0.3728461538461538,0.8000000000000007,neutral,neutral,16.8,0.233,0.28576
Josh Bell,605137,114,257,22.0,54.0,63.0,0.239,0.3509727626459144,14.399999999999999,61.199999999999996,55.199999999999996,0.247,0.30107,19.2,46.8,42.0,0.15,0.23684210526315788,19.2,54.0,49.199999999999996,0.193,0.27742105263157896,-7.600000000000001,Buy low,buy low,15.12,0.247,0.32515560000000004
Yainer Diaz,673237,95,292,20.0,56.0,70.0,0.256,0.3344178082191781,16.8,69.6,64.8,0.282,0.31601,10.799999999999999,44.4,43.199999999999996,0.189,0.24368421052631578,14.399999999999999,54.0,50.4,0.219,0.2808421052631579,-3.1999999999999993,Buy low,buy low,17.64,0.282,0.34129080000000006
Brendan Donovan,680977,125,316,10.0,64.0,50.0,0.287,0.3245253164556962,15.6,69.6,63.599999999999994,0.29,0.37125,13.2,74.39999999999999,68.39999999999999,0.333,0.3772,15.6,68.39999999999999,63.599999999999994,0.291,0.3476,5.6,Neutral,neutral,15.6,0.29,0.37125
Trevor Larnach,663616,123,277,17.0,62.0,60.0,0.25,0.32581227436823107,10.799999999999999,58.8,50.4,0.242,0.31864,18.0,62.4,55.199999999999996,0.24,0.3276422764227643,18.0,62.4,56.4,0.244,0.32282113821138214,-6.200000000000001,Neutral,neutral,10.799999999999999,0.242,0.31864
Marcus Semien,543760,124,335,15.0,62.0,62.0,0.23,0.3295522388059702,15.6,63.599999999999994,56.4,0.252,0.31715,8.4,45.6,37.199999999999996,0.183,0.24072580645161293,13.2,54.0,48.0,0.216,0.2793629032258065,0.5999999999999996,Buy low,buy low,16.38,0.252,0.342522
Kyle Manzardo,700932,108,231,27.0,47.0,70.0,0.234,0.3277056277056277,20.4,66.0,60.0,0.249,0.31594,40.8,73.2,74.39999999999999,0.22,0.3550925925925926,30.0,68.39999999999999,66.0,0.234,0.3365462962962963,-6.600000000000001,Neutral,neutral,20.4,0.249,0.31594
Cedric Mullins,656775,119,236,17.0,58.0,59.0,0.216,0.27669491525423734,13.2,62.4,52.8,0.25,0.32976,27.599999999999998,76.8,68.39999999999999,0.281,0.4113445378151261,22.8,70.8,63.599999999999994,0.265,0.36467226890756305,-3.8000000000000007,Slight sell,slight sell,13.2,0.25,0.3165696
Carlos Correa,621043,115,250,13.0,63.0,52.0,0.276,0.33979999999999994,13.2,63.599999999999994,57.599999999999994,0.264,0.31712,4.8,46.8,40.8,0.215,0.2643478260869565,10.799999999999999,54.0,48.0,0.231,0.2911739130434783,0.1999999999999993,Buy low,buy low,13.86,0.264,0.34248960000000006
Corey Seager,608369,84,254,21.0,61.0,50.0,0.271,0.37421259842519683,20.4,72.0,67.2,0.285,0.37656,26.4,75.6,72.0,0.286,0.35119047619047616,21.599999999999998,68.39999999999999,64.8,0.265,0.33459523809523806,-0.6000000000000014,Buy low,buy low,21.419999999999998,0.285,0.4066848
Lenyn Sosa,672820,107,234,22.0,57.0,75.0,0.264,0.3316239316239316,10.799999999999999,55.199999999999996,50.4,0.233,0.28827,9.6,60.0,56.4,0.272,0.31401869158878504,14.399999999999999,61.199999999999996,57.599999999999994,0.26,0.31600934579439255,-11.200000000000001,Neutral,neutral,10.799999999999999,0.233,0.28827
Paul Goldschmidt,502671,130,274,10.0,76.0,45.0,0.274,0.314963503649635,16.8,68.39999999999999,63.599999999999994,0.279,0.35927,8.4,75.6,67.2,0.356,0.3861538461538462,13.2,69.6,62.4,0.302,0.35207692307692307,6.800000000000001,Sell high,sell high,16.8,0.279,0.3305284
Kerry Carpenter,681481,104,188,26.0,66.0,62.0,0.252,0.35345744680851066,25.2,73.2,72.0,0.277,0.35312,37.199999999999996,76.8,82.8,0.268,0.3634615384615385,27.599999999999998,69.6,70.8,0.258,0.3407307692307693,-0.8000000000000007,Neutral,neutral,25.2,0.277,0.35312
Lars Nootbaar,663457,140,246,13.0,68.0,48.0,0.234,0.28699186991869924,16.8,66.0,56.4,0.256,0.35653,19.2,69.6,57.599999999999994,0.265,0.38321428571428573,19.2,66.0,57.599999999999994,0.257,0.3506071428571429,3.8000000000000007,Neutral,neutral,16.8,0.256,0.35653
Harrison Bader,664056,89,220,17.0,61.0,54.0,0.277,0.34840909090909095,14.399999999999999,58.8,52.8,0.236,0.28021,18.0,62.4,57.599999999999994,0.247,0.33370786516853934,18.0,62.4,57.599999999999994,0.247,0.32585393258426965,-2.6000000000000014,Slight sell,slight sell,14.399999999999999,0.236,0.2690016
Jake Cronenworth,630105,45,281,11.0,61.0,59.0,0.246,0.3202846975088968,13.2,58.8,51.6,0.237,0.31152,24.0,72.0,61.199999999999996,0.257,0.3844444444444445,20.4,66.0,58.8,0.251,0.3512222222222222,2.1999999999999993,neutral,neutral,13.2,0.237,0.31152
Jackson Merrill,701538,41,285,16.0,59.0,67.0,0.264,0.2982456140350877,24.0,78.0,74.39999999999999,0.303,0.3871,40.8,100.8,102.0,0.378,0.4560975609756097,24.0,73.2,69.6,0.286,0.3870487804878049,8.0,neutral,neutral,24.0,0.303,0.3871
Matt McLain,680574,94,319,15.0,73.0,50.0,0.22,0.3010971786833856,19.2,72.0,66.0,0.285,0.34967,24.0,52.8,49.199999999999996,0.162,0.2835106382978723,20.4,57.599999999999994,52.8,0.207,0.30075531914893616,4.199999999999999,Buy low,buy low,20.16,0.285,0.3776436
Andrew Benintendi,643217,85,232,20.0,57.0,63.0,0.24,0.3275862068965517,16.8,66.0,60.0,0.26,0.3043,32.4,68.39999999999999,69.6,0.23,0.32941176470588235,25.2,66.0,63.599999999999994,0.24,0.3237058823529412,-3.1999999999999993,Neutral,neutral,16.8,0.26,0.3043
Masyn Winn,691026,84,322,9.0,72.0,51.0,0.253,0.31149068322981366,14.399999999999999,62.4,55.199999999999996,0.249,0.29976,19.2,66.0,60.0,0.26,0.3386904761904762,19.2,64.8,60.0,0.254,0.3283452380952381,5.399999999999999,Neutral,neutral,14.399999999999999,0.249,0.29976
Isaac Collins,686555,42,238,9.0,56.0,54.0,0.263,0.3588235294117647,9.6,40.8,34.8,0.154,0.20532,13.2,63.599999999999994,57.599999999999994,0.27,0.3619047619047619,16.8,62.4,57.599999999999994,0.255,0.33995238095238095,0.5999999999999996,neutral,neutral,9.6,0.154,0.20532
Alec Bohm,664761,119,264,11.0,53.0,59.0,0.287,0.3606060606060606,15.6,66.0,61.199999999999996,0.271,0.31195,0.0,43.199999999999996,38.4,0.221,0.2361344537815126,8.4,52.8,48.0,0.235,0.2770672268907563,4.6,Buy low,buy low,16.38,0.271,0.33690600000000004
Brenton Doyle,686668,90,264,15.0,57.0,57.0,0.235,0.25833333333333336,18.0,62.4,57.599999999999994,0.24,0.30971,24.0,64.8,63.599999999999994,0.241,0.3111111111111111,21.599999999999998,64.8,61.199999999999996,0.245,0.3145555555555556,3.0,Buy low,buy low,18.900000000000002,0.24,0.33448680000000003
Isaac Paredes,670623,131,279,20.0,53.0,53.0,0.254,0.37347670250896053,12.0,58.8,50.4,0.239,0.33437,16.8,64.8,56.4,0.255,0.3477099236641221,16.8,63.599999999999994,56.4,0.251,0.3328549618320611,-8.0,Neutral,neutral,12.0,0.239,0.33437
Chandler Simpson,802415,43,204,,53.0,26.0,0.295,0.31789215686274513,10.799999999999999,58.8,51.6,0.245,0.30815,0.0,60.0,49.199999999999996,0.3,0.3081395348837209,12.0,61.199999999999996,54.0,0.264,0.31306976744186044,,neutral,neutral,10.799999999999999,0.245,0.30815
J.T. Realmuto,592663,107,260,12.0,57.0,52.0,0.257,0.32673076923076927,16.8,66.0,60.0,0.263,0.32859,9.6,56.4,48.0,0.24,0.30467289719626167,14.399999999999999,60.0,54.0,0.244,0.3113364485981308,4.800000000000001,Slight buy,slight buy,17.136000000000003,0.263,0.3417336
Wilyer Abreu,677800,115,224,22.0,53.0,69.0,0.247,0.3100446428571429,18.0,69.6,60.0,0.272,0.36121,28.799999999999997,80.39999999999999,72.0,0.295,0.40608695652173915,24.0,72.0,66.0,0.271,0.3620434782608696,-4.0,Slight sell,slight sell,18.0,0.272,0.34676159999999995
Jeff McNeil,643446,18,250,12.0,42.0,54.0,0.243,0.3464,15.6,68.39999999999999,61.199999999999996,0.279,0.32742,31.2,87.6,82.8,0.333,0.41111111111111115,20.4,67.2,62.4,0.261,0.3645555555555556,3.5999999999999996,neutral,neutral,15.6,0.279,0.32742
Ryan McMahon,641857,121,306,20.0,62.0,53.0,0.214,0.35522875816993466,12.0,58.8,49.199999999999996,0.235,0.29117,8.4,42.0,31.2,0.15,0.24256198347107438,13.2,51.6,44.4,0.198,0.2802809917355372,-8.0,Buy low,buy low,12.600000000000001,0.235,0.3144636
Jonathan India,663697,120,313,9.0,63.0,45.0,0.233,0.3100638977635783,10.799999999999999,60.0,51.6,0.25,0.32946,0.0,46.8,32.4,0.216,0.27875,8.4,55.199999999999996,44.4,0.232,0.298375,1.799999999999999,Buy low,buy low,11.34,0.25,0.3558168
Jonathan Aranda,666018,103,306,14.0,56.0,59.0,0.316,0.3820261437908497,19.2,64.8,57.599999999999994,0.242,0.35524,21.599999999999998,75.6,68.39999999999999,0.299,0.39902912621359227,19.2,68.39999999999999,62.4,0.273,0.35851456310679614,5.199999999999999,Slight sell,slight sell,19.2,0.242,0.3410304
Nathan Lukes,664770,44,227,12.0,55.0,65.0,0.255,0.3416299559471366,10.799999999999999,64.8,55.199999999999996,0.275,0.33223,12.0,55.199999999999996,46.8,0.222,0.29659090909090907,16.8,61.199999999999996,55.199999999999996,0.24,0.30729545454545454,-1.200000000000001,neutral,neutral,10.799999999999999,0.275,0.33223
Brooks Lee,686797,51,280,16.0,50.0,64.0,0.236,0.29125,15.6,63.599999999999994,56.4,0.255,0.30076,21.599999999999998,69.6,62.4,0.267,0.3441176470588235,19.2,64.8,60.0,0.254,0.33105882352941174,-0.40000000000000036,neutral,neutral,15.6,0.255,0.30076
Austin Hays,669720,58,192,15.0,60.0,64.0,0.266,0.32343750000000004,20.4,70.8,64.8,0.272,0.35474,48.0,103.2,105.6,0.365,0.475,28.799999999999997,78.0,75.6,0.291,0.39649999999999996,5.399999999999999,neutral,neutral,20.4,0.272,0.35474
Max Kepler,596146,108,243,18.0,58.0,52.0,0.216,0.274074074074074,15.6,63.599999999999994,56.4,0.253,0.33238,15.6,62.4,55.199999999999996,0.253,0.33148148148148154,16.8,63.599999999999994,56.4,0.25,0.3247407407407408,-2.4000000000000004,Slight buy,slight buy,15.911999999999999,0.253,0.3456752
Austin Wells,669224,105,220,21.0,51.0,71.0,0.219,0.3006818181818182,18.0,60.0,56.4,0.229,0.30366,26.4,61.199999999999996,61.199999999999996,0.215,0.3123809523809524,21.599999999999998,61.199999999999996,58.8,0.232,0.31519047619047624,-3.0,Buy low,buy low,18.900000000000002,0.229,0.3279528
Colt Keith,690993,88,245,13.0,65.0,45.0,0.256,0.3477551020408164,12.0,63.599999999999994,54.0,0.261,0.31509,6.0,48.0,32.4,0.183,0.29090909090909095,12.0,55.199999999999996,44.4,0.218,0.3044545454545455,-1.0,Buy low,buy low,12.600000000000001,0.261,0.3402972
Eric Wagaman,676572,104,272,9.0,56.0,53.0,0.25,0.2696691176470588,14.399999999999999,66.0,60.0,0.275,0.32962,15.6,61.199999999999996,56.4,0.25,0.3153846153846154,16.8,62.4,57.599999999999994,0.249,0.3166923076923077,5.399999999999999,Neutral,neutral,14.399999999999999,0.275,0.32962
Matt Shaw,807713,59,205,13.0,57.0,44.0,0.226,0.3119512195121951,10.799999999999999,60.0,49.199999999999996,0.245,0.30561,8.4,49.199999999999996,34.8,0.184,0.31101694915254235,14.399999999999999,57.599999999999994,49.199999999999996,0.224,0.3145084745762712,-2.200000000000001,neutral,neutral,10.799999999999999,0.245,0.30561
Jurickson Profar,595777,16,112,14.0,56.0,43.0,0.245,,13.2,61.199999999999996,54.0,0.248,0.30468,0.0,42.0,33.6,0.2,0.21250000000000002,15.6,60.0,55.199999999999996,0.241,0.26525,-0.8000000000000007,neutral,neutral,13.2,0.248,0.30468
Josh Jung,673962,86,244,14.0,53.0,61.0,0.251,0.2948770491803278,18.0,64.8,60.0,0.253,0.30888,12.0,66.0,62.4,0.296,0.3482558139534883,15.6,64.8,60.0,0.27,0.33312790697674416,4.0,Sell high,sell high,18.0,0.253,0.2841696
Wilmer Flores,527038,117,261,16.0,44.0,71.0,0.241,0.3227969348659004,13.2,58.8,52.8,0.24,0.30412,33.6,68.39999999999999,70.8,0.229,0.30598290598290595,25.2,66.0,63.599999999999994,0.239,0.311991452991453,-2.8000000000000007,Neutral,neutral,13.2,0.24,0.30412
Dillon Dingler,693307,82,217,13.0,54.0,57.0,0.278,0.33456221198156677,12.0,49.199999999999996,45.6,0.198,0.25333,20.4,67.2,68.39999999999999,0.275,0.32682926829268294,19.2,64.8,62.4,0.26,0.32241463414634147,-1.0,Neutral,neutral,12.0,0.198,0.25333
Brett Baty,683146,58,228,18.0,53.0,50.0,0.254,0.32807017543859657,12.0,52.8,48.0,0.214,0.26872,9.6,48.0,43.199999999999996,0.204,0.2681034482758621,14.399999999999999,56.4,51.6,0.232,0.293051724137931,-6.0,neutral,neutral,12.0,0.214,0.26872
Gavin Lux,666158,114,240,5.0,49.0,53.0,0.269,0.30499999999999994,12.0,63.599999999999994,54.0,0.265,0.32982,4.8,69.6,55.199999999999996,0.327,0.37894736842105264,10.799999999999999,66.0,56.4,0.287,0.3484736842105263,7.0,Sell high,sell high,12.0,0.265,0.3034344
Victor Scott II,687363,108,261,5.0,54.0,37.0,0.216,0.27356321839080455,8.4,48.0,40.8,0.197,0.24997,9.6,61.199999999999996,52.8,0.271,0.3412037037037038,14.399999999999999,62.4,56.4,0.259,0.32960185185185187,3.4000000000000004,Sell high,sell high,8.4,0.197,0.22997240000000002
Carson Kelly,608348,63,205,17.0,48.0,50.0,0.249,0.32902439024390245,19.2,66.0,56.4,0.243,0.35238,62.4,114.0,111.6,0.362,0.5484126984126984,34.8,82.8,79.2,0.292,0.43320634920634915,2.1999999999999993,neutral,neutral,19.2,0.243,0.35238
Ryan Jeffers,680777,89,233,9.0,47.0,47.0,0.266,0.3339055793991416,14.399999999999999,61.199999999999996,54.0,0.243,0.33276,6.0,57.599999999999994,46.8,0.256,0.32865168539325845,12.0,60.0,52.8,0.252,0.32332584269662923,5.399999999999999,Neutral,neutral,14.399999999999999,0.243,0.33276
Ke'Bryan Hayes,663647,116,281,5.0,50.0,49.0,0.235,0.2644128113879004,10.799999999999999,58.8,52.8,0.25,0.30071,4.8,52.8,45.6,0.245,0.2836206896551724,10.799999999999999,57.599999999999994,50.4,0.247,0.3008103448275862,5.799999999999999,Neutral,neutral,10.799999999999999,0.25,0.30071
Brandon Marsh,669016,51,222,11.0,59.0,43.0,0.28,0.35315315315315315,13.2,62.4,54.0,0.25,0.30332,10.799999999999999,43.199999999999996,33.6,0.15,0.19215686274509805,15.6,52.8,45.6,0.196,0.25507843137254904,2.1999999999999993,neutral,neutral,13.2,0.25,0.30332
Ty France,664034,123,265,7.0,50.0,52.0,0.257,0.29754716981132073,20.4,68.39999999999999,63.599999999999994,0.263,0.34592,13.2,62.4,56.4,0.269,0.34471544715447155,15.6,62.4,57.599999999999994,0.258,0.3313577235772358,13.399999999999999,Neutral,neutral,20.4,0.263,0.34592
Nolan Arenado,571448,122,273,12.0,48.0,52.0,0.237,0.28608058608058606,13.2,64.8,56.4,0.268,0.31463,13.2,60.0,51.6,0.245,0.3307377049180328,15.6,61.199999999999996,55.199999999999996,0.247,0.32436885245901637,1.1999999999999993,Neutral,neutral,13.2,0.268,0.31463
Tyler Freeman,671289,16,217,2.0,50.0,31.0,0.281,0.36705069124423967,9.6,55.199999999999996,45.6,0.224,0.28699,0.0,36.0,22.8,0.15,0.23124999999999998,15.6,57.599999999999994,51.6,0.226,0.274625,7.6,neutral,neutral,9.6,0.224,0.28699
Luis Rengifo,650859,108,280,9.0,55.0,43.0,0.238,0.2892857142857143,10.799999999999999,62.4,55.199999999999996,0.264,0.30675,4.8,50.4,44.4,0.235,0.26898148148148143,10.799999999999999,56.4,50.4,0.242,0.2934907407407407,1.799999999999999,Buy low,buy low,11.34,0.264,0.33129000000000003
Jake Mangum,663968,74,195,3.0,37.0,40.0,0.296,0.2997435897435898,10.799999999999999,58.8,52.8,0.248,0.31577,0.0,67.2,56.4,0.338,0.34594594594594597,9.6,63.599999999999994,56.4,0.286,0.331972972972973,7.799999999999999,neutral,neutral,10.799999999999999,0.248,0.31577
Carlos Santana,467793,121,290,11.0,49.0,54.0,0.219,0.3137931034482759,13.2,56.4,50.4,0.224,0.29526,8.4,51.6,43.199999999999996,0.221,0.2752066115702479,13.2,57.599999999999994,50.4,0.235,0.29660330578512395,2.1999999999999993,Neutral,neutral,13.2,0.224,0.29526
Andrew Vaughn,683734,118,136,14.0,35.0,65.0,0.254,,20.4,66.0,63.599999999999994,0.256,0.31331,13.2,42.0,39.6,0.162,0.2173728813559322,15.6,52.8,49.199999999999996,0.205,0.2676864406779661,6.399999999999999,Buy low,buy low,21.419999999999998,0.256,0.3383748
Cam Smith,701358,85,291,9.0,55.0,51.0,0.236,0.3231958762886598,12.0,60.0,52.8,0.249,0.3182,19.2,57.599999999999994,52.8,0.213,0.3135294117647059,19.2,61.199999999999996,56.4,0.232,0.31576470588235295,3.0,Neutral,neutral,12.0,0.249,0.3182
Chase Meidroth,805367,31,318,5.0,54.0,23.0,0.253,0.30125786163522017,10.799999999999999,60.0,51.6,0.251,0.32402,0.0,58.8,42.0,0.28,0.34516129032258064,13.2,61.199999999999996,54.0,0.256,0.3315806451612903,5.799999999999999,neutral,neutral,10.799999999999999,0.251,0.32402
Mark Vientos,668901,118,173,17.0,44.0,61.0,0.233,0.2841040462427746,13.2,60.0,52.8,0.241,0.30929,18.0,57.599999999999994,51.6,0.214,0.3182203389830509,18.0,60.0,54.0,0.231,0.3181101694915255,-3.8000000000000007,Neutral,neutral,13.2,0.241,0.30929
Austin Riley,663586,133,309,16.0,54.0,54.0,0.26,0.3192556634304207,24.0,72.0,69.6,0.272,0.35142,25.2,73.2,72.0,0.282,0.34849624060150375,21.599999999999998,68.39999999999999,64.8,0.265,0.3332481203007519,8.0,Neutral,neutral,24.0,0.272,0.35142
Tommy Pham,502054,106,170,10.0,44.0,52.0,0.245,0.40058823529411763,9.6,55.199999999999996,48.0,0.233,0.27292,0.0,37.199999999999996,27.599999999999998,0.174,0.22924528301886793,8.4,49.199999999999996,42.0,0.211,0.27362264150943394,-0.40000000000000036,Buy low,buy low,10.08,0.233,0.2947536
Willi Castro,650489,72,272,11.0,58.0,33.0,0.226,0.3380514705882353,13.2,60.0,54.0,0.245,0.30216,7.199999999999999,50.4,45.6,0.227,0.29027777777777775,13.2,57.599999999999994,52.8,0.239,0.30413888888888885,2.1999999999999993,neutral,neutral,13.2,0.245,0.30216
Kody Clemens,665019,12,191,19.0,46.0,52.0,0.213,0.34267015706806275,8.4,49.199999999999996,40.8,0.199,0.26423,0.0,33.6,24.0,0.15,0.1625,15.6,57.599999999999994,52.8,0.231,0.24025000000000002,-10.6,neutral,neutral,8.4,0.199,0.26423
Matt Wallner,670242,67,177,22.0,47.0,40.0,0.202,0.3149717514124294,16.8,64.8,57.599999999999994,0.253,0.35704,8.4,62.4,50.4,0.273,0.3962686567164179,14.399999999999999,62.4,55.199999999999996,0.258,0.35713432835820896,-5.199999999999999,neutral,neutral,16.8,0.253,0.35704
Adam Frazier,624428,96,193,7.0,43.0,44.0,0.267,0.3018134715025907,8.4,54.0,45.6,0.228,0.27637,4.8,54.0,45.6,0.247,0.2869791666666667,12.0,58.8,52.8,0.248,0.3024895833333333,1.4000000000000004,Neutral,neutral,8.4,0.228,0.27637
Noelvi Marte,682622,59,97,14.0,45.0,51.0,0.263,,12.0,60.0,52.8,0.248,0.30076,27.599999999999998,81.6,78.0,0.315,0.4101694915254237,21.599999999999998,69.6,66.0,0.273,0.3640847457627119,-2.0,neutral,neutral,12.0,0.248,0.30076
Romy Gonzalez,663853,44,137,9.0,47.0,53.0,0.305,,14.399999999999999,61.199999999999996,55.199999999999996,0.245,0.29846,0.0,57.599999999999994,45.6,0.282,0.3488636363636364,12.0,61.199999999999996,54.0,0.258,0.3334318181818182,5.399999999999999,neutral,neutral,14.399999999999999,0.245,0.29846
Isiah Kiner-Falefa,643396,110,227,2.0,45.0,40.0,0.262,0.29295154185022027,7.199999999999999,57.599999999999994,49.199999999999996,0.252,0.28319,0.0,56.4,46.8,0.283,0.30590909090909096,8.4,58.8,51.6,0.265,0.3119545454545455,5.199999999999999,Sell high,sell high,7.199999999999999,0.252,0.2605348
Michael Conforto,624424,102,232,12.0,54.0,36.0,0.199,0.30862068965517236,12.0,60.0,49.199999999999996,0.239,0.31343,10.799999999999999,44.4,32.4,0.15,0.26127450980392153,14.399999999999999,52.8,44.4,0.196,0.2896372549019608,0.0,Buy low,buy low,12.600000000000001,0.239,0.3385044
Jordan Westburg,676059,98,141,17.0,59.0,41.0,0.265,,18.0,66.0,61.199999999999996,0.262,0.32569,22.8,60.0,58.8,0.22,0.2948979591836735,20.4,61.199999999999996,58.8,0.234,0.30644897959183676,1.0,Buy low,buy low,18.900000000000002,0.262,0.3517452
Jake Meyers,676694,89,234,3.0,53.0,24.0,0.292,0.37927350427350426,10.799999999999999,54.0,46.8,0.221,0.27871,0.0,50.4,40.8,0.25,0.2853932584269663,9.6,57.599999999999994,50.4,0.249,0.30169662921348317,7.799999999999999,Neutral,neutral,10.799999999999999,0.221,0.27871
Tommy Edman,669242,112,204,13.0,49.0,49.0,0.225,0.28700980392156866,16.8,66.0,61.199999999999996,0.264,0.34246,34.8,74.39999999999999,78.0,0.26,0.3625,26.4,68.39999999999999,68.39999999999999,0.254,0.34025,3.8000000000000007,Neutral,neutral,16.8,0.264,0.34246
Miguel Andujar,609280,85,146,10.0,36.0,44.0,0.318,,12.0,62.4,56.4,0.263,0.30065,13.2,72.0,66.0,0.321,0.35882352941176476,15.6,67.2,61.199999999999996,0.281,0.3384117647058824,2.0,Slight sell,slight sell,12.0,0.263,0.28862399999999994
